Sample ID,TLV,esTLV,dimTLV
PT_0205,50,5,25
PT_0206,50,5,25
PT_0207,50,5,25
PT_0208,50,5,25
PT_0209,50,5,25
PT_0210,50,5,25
PT_0211,50,5,25
PT_0212,50,5,25
PT_0213,50,5,25
PT_0214,50,5,25
PT_0215,50,5,25
PT_0216,50,5,25
PT_0217,50,5,25
PT_0218,50,5,25
PT_0219,50,5,25
PT_0220,50,5,25
PT_0221,50,5,25
PT_0222,50,5,25
PT_0223,50,5,25
PT_0224,50,5,25
PT_0225,50,5,25
PT_0226,50,5,25
PT_0227,50,5,25
PT_0228,50,5,25
PT_0229,50,5,25
PT_0230,50,5,25
PT_0231,50,5,25
PT_0232,50,5,25
PT_0233,50,5,25
PT_0234,50,5,25
PT_0235,50,5,25
PT_0236,50,5,25
PT_0237,50,5,25
PT_0238,50,5,25
PT_0239,50,5,25
PT_0240,50,5,25
PT_0241,50,5,25
PT_0242,50,5,25
PT_0243,50,5,25
PT_0244,50,5,25
PT_0245,50,5,25
PT_0246,50,5,25
PT_0247,50,5,25
PT_0248,50,5,25
PT_0249,50,5,25
PT_0250,50,5,25
PT_0251,50,5,25
PT_0252,50,5,25
PT_0253,50,5,25
PT_0254,50,5,25
PT_0255,50,5,25
PT_0256,50,5,25
PT_0257,50,5,25
PT_0258,50,5,25
PT_0259,50,5,25
PT_0260,50,5,25
PT_0261,50,5,25
PT_0262,50,5,25
PT_0263,50,5,25
PT_0264,50,5,25
PT_0265,50,5,25
PT_0266,50,5,25
PT_0267,50,5,25
PT_0268,50,5,25
PT_0269,50,5,25
PT_0270,50,5,25
PT_0271,50,5,25
PT_0272,50,5,25
PT_0273,50,5,25
PT_0274,50,5,25
PT_0275,50,5,25
PT_0276,50,5,25
PT_0277,50,5,25
PT_0278,50,5,25
PT_0279,50,5,25
PT_0280,50,5,25
PT_0281,50,5,25
PT_0282,50,5,25
PT_0283,50,5,25
PT_0284,50,5,25
PT_0285,50,5,25
PT_0286,50,5,25
PT_0287,50,5,25
PT_0288,50,5,25
PT_0289,50,5,25
PT_0290,50,5,25
PT_0291,50,5,25
PT_0292,50,5,25
PT_0293,50,5,25
PT_0294,50,5,25
PT_0295,50,5,25
PT_0296,50,5,25
PT_0297,50,5,25
PT_0298,50,5,25
PT_0299,50,5,25
PT_0300,50,5,25
PT_0301,50,5,25
PT_0302,50,5,25
PT_0303,50,5,25
PT_0304,50,5,25
PT_0305,50,5,25
PT_0306,50,5,25
PT_0307,50,5,25
PT_0308,50,5,25
PT_0309,50,5,25
PT_0310,50,5,25
PT_0311,50,5,25
PT_0312,50,5,25
PT_0313,50,5,25
PT_0314,50,5,25
PT_0315,50,5,25
PT_0316,50,5,25
PT_0317,50,5,25
PT_0318,50,5,25
PT_0319,50,5,25
PT_0320,50,5,25
PT_0321,50,5,25
PT_0322,50,5,25
PT_0323,50,5,25
PT_0324,50,5,25
PT_0325,50,5,25
PT_0326,50,5,25
PT_0327,50,5,25
PT_0328,50,5,25
PT_0329,50,5,25
PT_0330,50,5,25
PT_0331,50,5,25
PT_0332,50,5,25
PT_0333,50,5,25
PT_0334,50,5,25
PT_0335,50,5,25
PT_0336,50,5,25
PT_0337,50,5,25
PT_0338,50,5,25
PT_0339,50,5,25
PT_0340,50,5,25
PT_0341,50,5,25
PT_0342,50,5,25
PT_0343,50,5,25
PT_0344,50,5,25
PT_0345,50,5,25
PT_0346,50,5,25
PT_0347,50,5,25
PT_0348,50,5,25
PT_0349,50,5,25
PT_0350,50,5,25
PT_0351,50,5,25
PT_0352,50,5,25
PT_0353,50,5,25
PT_0354,50,5,25
PT_0355,50,5,25
PT_0356,50,5,25
PT_0357,50,5,25
PT_0358,50,5,25
PT_0359,50,5,25
PT_0360,50,5,25
PT_0361,50,5,25
PT_0362,50,5,25
PT_0363,50,5,25
PT_0364,50,5,25
PT_0365,50,5,25
PT_0366,50,5,25
PT_0367,50,5,25
PT_0368,50,5,25
PT_0369,50,5,25
PT_0370,50,5,25
PT_0371,50,5,25
PT_0372,50,5,25
PT_0373,50,5,25
PT_0374,50,5,25
PT_0375,50,5,25
PT_0376,50,5,25
PT_0377,50,5,25
PT_0378,50,5,25
PT_0379,50,5,25
PT_0380,50,5,25
PT_0381,50,5,25
PT_0382,50,5,25
PT_0383,50,5,25
PT_0384,50,5,25
PT_0385,50,5,25
PT_0386,50,5,25
PT_0387,50,5,25
PT_0388,50,5,25
PT_0389,50,5,25
PT_0390,50,5,25
PT_0391,50,5,25
PT_0392,50,5,25
PT_0393,50,5,25
PT_0394,50,5,25
PT_0395,50,5,25
PT_0396,50,5,25
PT_0397,50,5,25
PT_0398,50,5,25
PT_0399,50,5,25
PT_0400,50,5,25
PT_0401,50,5,25
PT_0402,50,5,25
PT_0403,50,5,25
PT_0404,50,5,25
PT_0405,50,5,25
PT_0406,50,5,25
PT_0407,50,5,25
PT_0408,50,5,25
PT_0409,50,5,25
PT_0410,50,5,25
PT_0411,50,5,25
PT_0412,50,5,25
PT_0413,50,5,25
PT_0414,50,5,25
PT_0415,50,5,25
PT_0416,50,5,25
PT_0417,50,5,25
PT_0418,50,5,25
PT_0419,50,5,25
PT_0420,50,5,25
PT_0421,50,5,25
PT_0422,50,5,25
PT_0423,50,5,25
PT_0424,50,5,25
PT_0425,50,5,25
PT_0426,50,5,25
PT_0427,50,5,25
PT_0428,50,5,25
PT_0429,50,5,25
PT_0430,50,5,25
PT_0431,50,5,25
PT_0432,50,5,25
PT_0433,50,5,25
PT_0434,50,5,25
PT_0435,50,5,25
PT_0436,50,5,25
PT_0437,50,5,25
PT_0438,50,5,25
PT_0439,50,5,25
PT_0440,50,5,25
PT_0441,50,5,25
PT_0442,50,5,25
PT_0443,50,5,25
PT_0444,50,5,25
PT_0445,50,5,25
PT_0446,50,5,25
PT_0447,50,5,25
PT_0448,50,5,25
PT_0449,50,5,25
PT_0450,50,5,25
PT_0451,50,5,25
PT_0452,50,5,25
PT_0453,50,5,25
PT_0454,50,5,25
PT_0455,50,5,25
PT_0456,50,5,25
PT_0457,50,5,25
PT_0458,50,5,25
PT_0459,50,5,25
PT_0460,50,5,25
PT_0461,50,5,25
PT_0462,50,5,25
PT_0463,50,5,25
PT_0464,50,5,25
PT_0465,50,5,25
PT_0466,50,5,25
PT_0467,50,5,25
PT_0468,50,5,25
PT_0469,50,5,25
PT_0470,50,5,25
PT_0471,50,5,25
PT_0472,50,5,25
PT_0473,50,5,25
PT_0474,50,5,25
PT_0475,50,5,25
PT_0476,50,5,25
PT_0477,50,5,25
PT_0478,50,5,25
PT_0479,50,5,25
PT_0480,50,5,25
PT_0481,50,5,25
PT_0482,50,5,25
PT_0483,50,5,25
PT_0484,50,5,25
PT_0485,50,5,25
PT_0486,50,5,25
PT_0487,50,5,25
PT_0488,50,5,25
PT_0489,50,5,25
PT_0490,50,5,25
PT_0491,50,5,25
PT_0492,50,5,25
PT_0493,50,5,25
PT_0494,50,5,25
PT_0495,50,5,25
PT_0496,50,5,25
PT_0497,50,5,25
PT_0498,50,5,25
PT_0499,50,5,25
PT_0500,50,5,25
PT_0501,50,5,25
PT_0502,50,5,25
PT_0503,50,5,25
PT_0504,50,5,25
PT_0505,50,5,25
PT_0506,50,5,25
PT_0507,50,5,25
PT_0508,50,5,25
PT_0509,50,5,25
PT_0510,50,5,25
PT_0511,50,5,25
PT_0512,50,5,25
PT_0513,50,5,25
PT_0514,50,5,25
PT_0515,50,5,25
PT_0516,50,5,25
PT_0517,50,5,25
PT_0518,50,5,25
PT_0519,50,5,25
PT_0520,50,5,25
PT_0521,50,5,25
PT_0522,50,5,25
PT_0523,50,5,25
PT_0524,50,5,25
PT_0525,50,5,25
PT_0526,50,5,25
PT_0527,50,5,25
PT_0528,50,5,25
PT_0529,50,5,25
PT_0530,50,5,25
PT_0531,50,5,25
PT_0532,50,5,25
PT_0533,50,5,25
PT_0534,50,5,25
PT_0535,50,5,25
PT_0536,50,5,25
PT_0537,50,5,25
PT_0538,50,5,25
PT_0539,50,5,25
PT_0540,50,5,25
PT_0541,50,5,25
PT_0542,50,5,25
PT_0543,50,5,25
PT_0544,50,5,25
PT_0545,50,5,25
PT_0546,50,5,25
PT_0547,50,5,25
PT_0548,50,5,25
PT_0549,50,5,25
PT_0550,50,5,25
PT_0551,50,5,25
PT_0552,50,5,25
PT_0553,50,5,25
PT_0554,50,5,25
PT_0555,50,5,25
PT_0556,50,5,25
PT_0557,50,5,25
PT_0558,50,5,25
PT_0559,50,5,25
PT_0560,50,5,25
PT_0561,50,5,25
PT_0562,50,5,25
PT_0563,50,5,25
PT_0564,50,5,25
PT_0565,50,5,25
PT_0566,50,5,25
PT_0567,50,5,25
PT_0568,50,5,25
PT_0569,50,5,25
PT_0570,50,5,25
PT_0571,50,5,25
PT_0572,50,5,25
PT_0573,50,5,25
PT_0574,50,5,25
PT_0575,50,5,25
PT_0576,50,5,25
PT_0577,50,5,25
PT_0578,50,5,25
PT_0579,50,5,25
PT_0580,50,5,25
PT_0581,50,5,25
PT_0582,50,5,25
PT_0583,50,5,25
PT_0584,50,5,25
PT_0585,50,5,25
PT_0586,50,5,25
PT_0587,50,5,25
PT_0588,50,5,25
PT_0589,50,5,25
PT_0590,50,5,25
PT_0591,50,5,25
PT_0592,50,5,25
PT_0593,50,5,25
PT_0594,50,5,25
PT_0595,50,5,25
PT_0596,50,5,25
PT_0597,50,5,25
PT_0598,50,5,25
PT_0599,50,5,25
PT_0600,50,5,25
PT_0601,50,5,25
PT_0602,50,5,25
PT_0603,50,5,25
PT_0604,50,5,25
PT_0605,50,5,25
PT_0606,50,5,25
PT_0607,50,5,25
PT_0608,50,5,25
PT_0609,50,5,25
PT_0610,50,5,25
PT_0611,50,5,25
PT_0612,50,5,25
PT_0613,50,5,25
PT_0614,50,5,25
PT_0615,50,5,25
PT_0616,50,5,25
PT_0617,50,5,25
PT_0618,50,5,25
PT_0619,50,5,25
PT_0620,50,5,25
PT_0621,50,5,25
PT_0622,50,5,25
PT_0623,50,5,25
PT_0624,50,5,25
PT_0625,50,5,25
PT_0626,50,5,25
PT_0627,50,5,25
PT_0628,50,5,25
PT_0629,50,5,25
PT_0630,50,5,25
PT_0631,50,5,25
PT_0632,50,5,25
PT_0633,50,5,25
PT_0634,50,5,25
PT_0635,50,5,25
PT_0636,50,5,25
PT_0637,50,5,25
PT_0638,50,5,25
PT_0639,50,5,25
PT_0640,50,5,25
PT_0641,50,5,25
PT_0642,50,5,25
PT_0643,50,5,25
PT_0644,50,5,25
PT_0645,50,5,25
PT_0646,50,5,25
PT_0647,50,5,25
PT_0648,50,5,25
PT_0649,50,5,25
PT_0650,50,5,25
PT_0651,50,5,25
PT_0652,50,5,25
PT_0653,50,5,25
PT_0654,50,5,25
PT_0655,50,5,25
PT_0656,50,5,25
PT_0657,50,5,25
PT_0658,50,5,25
PT_0659,50,5,25
PT_0660,50,5,25
PT_0661,50,5,25
PT_0662,50,5,25
PT_0663,50,5,25
PT_0664,50,5,25
PT_0665,50,5,25
PT_0666,50,5,25
PT_0667,50,5,25
PT_0668,50,5,25
PT_0669,50,5,25
PT_0670,50,5,25
PT_0671,50,5,25
PT_0672,50,5,25
PT_0673,50,5,25
PT_0674,50,5,25
PT_0675,50,5,25
PT_0676,50,5,25
PT_0677,50,5,25
PT_0678,50,5,25
PT_0679,50,5,25
PT_0680,50,5,25
PT_0681,50,5,25
PT_0682,50,5,25
PT_0683,50,5,25
PT_0684,50,5,25
PT_0685,50,5,25
PT_0686,50,5,25
PT_0687,50,5,25
PT_0688,50,5,25
PT_0689,50,5,25
PT_0690,50,5,25
PT_0691,50,5,25
PT_0692,50,5,25
PT_0693,50,5,25
PT_0694,50,5,25
PT_0695,50,5,25
PT_0696,50,5,25
PT_0697,50,5,25
PT_0698,50,5,25
PT_0699,50,5,25
PT_0700,50,5,25
PT_0701,50,5,25
PT_0702,50,5,25
PT_0703,50,5,25
PT_0704,50,5,25
PT_0705,50,5,25
PT_0706,50,5,25
PT_0707,50,5,25
PT_0708,50,5,25
PT_0709,50,5,25
PT_0710,50,5,25
PT_0711,50,5,25
PT_0712,50,5,25
PT_0713,50,5,25
PT_0714,50,5,25
PT_0715,50,5,25
PT_0716,50,5,25
PT_0717,50,5,25
PT_0718,50,5,25
PT_0719,50,5,25
PT_0720,50,5,25
PT_0721,50,5,25
PT_0722,50,5,25
PT_0723,50,5,25
PT_0724,50,5,25
PT_0725,50,5,25
PT_0726,50,5,25
PT_0727,50,5,25
PT_0728,50,5,25
PT_0729,50,5,25
PT_0730,50,5,25
PT_0731,50,5,25
PT_0732,50,5,25
PT_0733,50,5,25
PT_0734,50,5,25
PT_0735,50,5,25
PT_0736,50,5,25
PT_0737,50,5,25
PT_0738,50,5,25
PT_0739,50,5,25
PT_0740,50,5,25
PT_0741,50,5,25
PT_0742,50,5,25
PT_0743,50,5,25
PT_0744,50,5,25
PT_0745,50,5,25
PT_0746,50,5,25
PT_0747,50,5,25
PT_0748,50,5,25
PT_0749,50,5,25
PT_0750,50,5,25
PT_0751,50,5,25
PT_0752,50,5,25
PT_0753,50,5,25
PT_0754,50,5,25
PT_0755,50,5,25
PT_0756,50,5,25
PT_0757,50,5,25
PT_0758,50,5,25
PT_0759,50,5,25
PT_0760,50,5,25
PT_0761,50,5,25
PT_0762,50,5,25
PT_0763,50,5,25
PT_0764,50,5,25
PT_0765,50,5,25
PT_0766,50,5,25
PT_0767,50,5,25
PT_0768,50,5,25
PT_0769,50,5,25
PT_0770,50,5,25
PT_0771,50,5,25
PT_0772,50,5,25
PT_0773,50,5,25
PT_0774,50,5,25
PT_0775,50,5,25
PT_0776,50,5,25
PT_0777,50,5,25
PT_0778,50,5,25
PT_0779,50,5,25
PT_0780,50,5,25
PT_0781,50,5,25
PT_0782,50,5,25
PT_0783,50,5,25
PT_0784,50,5,25
PT_0785,50,5,25
PT_0786,50,5,25
PT_0787,50,5,25
PT_0788,50,5,25
PT_0789,50,5,25
PT_0790,50,5,25
PT_0791,50,5,25
PT_0792,50,5,25
PT_0793,50,5,25
PT_0794,50,5,25
PT_0795,50,5,25
PT_0796,50,5,25
PT_0797,50,5,25
PT_0798,50,5,25
PT_0799,50,5,25
PT_0800,50,5,25
PT_0801,50,5,25
PT_0802,50,5,25
PT_0803,50,5,25
PT_0804,50,5,25
PT_0805,50,5,25
PT_0806,50,5,25
PT_0807,50,5,25
PT_0808,50,5,25
PT_0809,50,5,25
PT_0810,50,5,25
PT_0811,50,5,25
PT_0812,50,5,25
PT_0813,50,5,25
PT_0814,50,5,25
PT_0815,50,5,25
PT_0816,50,5,25
PT_0817,50,5,25
PT_0818,50,5,25
PT_0819,50,5,25
PT_0820,50,5,25
PT_0821,50,5,25
PT_0822,50,5,25
PT_0823,50,5,25
PT_0824,50,5,25
PT_0825,50,5,25
PT_0826,50,5,25
PT_0827,50,5,25
PT_0828,50,5,25
PT_0829,50,5,25
PT_0830,50,5,25
PT_0831,50,5,25
PT_0832,50,5,25
PT_0833,50,5,25
PT_0834,50,5,25
PT_0835,50,5,25
PT_0836,50,5,25
PT_0837,50,5,25
PT_0838,300,50,150
PT_0839,300,50,150
PT_0840,300,50,150
PT_0841,300,50,150
PT_0842,300,50,150
PT_0843,300,50,150
PT_0844,300,50,150
PT_0845,300,50,150
PT_0846,50,5,25
PT_0847,300,50,150
PT_0848,300,50,150
PT_0849,300,50,150
PT_0850,300,50,150
PT_0851,300,50,150
PT_0852,300,50,150
PT_0853,300,50,150
PT_0854,300,50,150
PT_0855,50,5,25
PT_0856,300,50,150
PT_0857,300,50,150
PT_0858,300,50,150
PT_0859,300,50,150
PT_0860,300,50,150
PT_0861,300,50,150
PT_0862,300,50,150
PT_0863,300,50,150
PT_0864,50,5,25
PT_0865,300,50,150
PT_0866,300,50,150
PT_0867,300,50,150
PT_0868,300,50,150
PT_0869,300,50,150
PT_0870,300,50,150
PT_0871,300,50,150
PT_0872,300,50,150
PT_0873,50,5,25
PT_0874,300,50,150
PT_0875,300,50,150
PT_0876,300,50,150
PT_0877,300,50,150
PT_0878,300,50,150
PT_0879,300,50,150
PT_0880,300,50,150
PT_0881,300,50,150
PT_0882,50,5,25
PT_0883,300,50,150
PT_0884,300,50,150
PT_0885,300,50,150
PT_0886,300,50,150
PT_0887,300,50,150
PT_0888,300,50,150
PT_0889,300,50,150
PT_0890,300,50,150
PT_0891,50,5,25
PT_0892,300,50,150
PT_0893,300,50,150
PT_0894,300,50,150
PT_0895,300,50,150
PT_0896,300,50,150
PT_0897,300,50,150
PT_0898,300,50,150
PT_0899,300,50,150
PT_0900,50,5,25
PT_0901,300,50,150
PT_0902,300,50,150
PT_0903,300,50,150
PT_0904,300,50,150
PT_0905,300,50,150
PT_0906,300,50,150
PT_0907,300,50,150
PT_0908,300,50,150
PT_0909,50,5,25
PT_0910,300,50,150
PT_0911,300,50,150
PT_0912,300,50,150
PT_0913,300,50,150
PT_0914,300,50,150
PT_0915,300,50,150
PT_0916,300,50,150
PT_0917,300,50,150
PT_0918,50,5,25
PT_0919,300,50,150
PT_0920,300,50,150
PT_0921,300,50,150
PT_0922,300,50,150
PT_0923,300,50,150
PT_0924,300,50,150
PT_0925,300,50,150
PT_0926,300,50,150
PT_0927,50,5,25
PT_0928,300,50,150
PT_0929,300,50,150
PT_0930,300,50,150
PT_0931,300,50,150
PT_0932,300,50,150
PT_0933,300,50,150
PT_0934,300,50,150
PT_0935,300,50,150
PT_0936,300,50,150
PT_0937,300,50,150
PT_0938,300,50,150
PT_0939,300,50,150
PT_0940,300,50,150
PT_0941,300,50,150
PT_0942,300,50,150
PT_0943,300,50,150
PT_0944,300,50,150
PT_0945,300,50,150
PT_0946,300,50,150
PT_0947,300,50,150
PT_0948,300,50,150
PT_0949,300,50,150
PT_0950,300,50,150
PT_0951,300,50,150
PT_0952,300,50,150
PT_0953,300,50,150
PT_0954,300,50,150
PT_0955,300,50,150
PT_0956,300,50,150
PT_0957,300,50,150
PT_0958,300,50,150
PT_0959,300,50,150
PT_0960,300,50,150
PT_0961,300,50,150
PT_0962,300,50,150
PT_0963,300,50,150
PT_0964,300,50,150
PT_0965,300,50,150
PT_0966,300,50,150
PT_0967,300,50,150
PT_0968,300,50,150
PT_0969,300,50,150
PT_0970,300,50,150
PT_0971,300,50,150
PT_0972,50,5,25
PT_0973,300,50,150
PT_0974,300,50,150
PT_0975,300,50,150
PT_0976,300,50,150
PT_0977,300,50,150
PT_0978,300,50,150
PT_0979,300,50,150
PT_0980,300,50,150
PT_0981,50,5,25
PT_0982,300,50,150
PT_0983,300,50,150
PT_0984,300,50,150
PT_0985,300,50,150
PT_0986,300,50,150
PT_0987,300,50,150
PT_0988,300,50,150
PT_0989,300,50,150
PT_0990,50,5,25
PT_0991,300,50,150
PT_0992,300,50,150
PT_0993,300,50,150
PT_0994,300,50,150
PT_0995,300,50,150
PT_0996,300,50,150
PT_0997,300,50,150
PT_0998,300,50,150
PT_0999,50,5,25
PT_1000,300,50,150
PT_1001,300,50,150
PT_1002,300,50,150
PT_1003,300,50,150
PT_1004,300,50,150
PT_1005,300,50,150
PT_1006,300,50,150
PT_1007,300,50,150
PT_1008,50,5,25
PT_1009,300,50,150
PT_1010,300,50,150
PT_1011,300,50,150
PT_1012,300,50,150
PT_1013,300,50,150
PT_1014,300,50,150
PT_1015,300,50,150
PT_1016,300,50,150
PT_1017,50,5,25
PT_1018,300,50,150
PT_1019,300,50,150
PT_1020,300,50,150
PT_1021,300,50,150
PT_1022,300,50,150
PT_1023,300,50,150
PT_1024,300,50,150
PT_1025,300,50,150
PT_1026,50,5,25
PT_1027,300,50,150
PT_1028,300,50,150
PT_1029,300,50,150
PT_1030,300,50,150
PT_1031,300,50,150
PT_1032,300,50,150
PT_1033,300,50,150
PT_1034,300,50,150
PT_1035,50,5,25
PT_1036,300,50,150
PT_1037,300,50,150
PT_1038,300,50,150
PT_1039,300,50,150
PT_1040,300,50,150
PT_1041,300,50,150
PT_1042,300,50,150
PT_1043,300,50,150
PT_1044,50,5,25
PT_1045,300,50,150
PT_1046,300,50,150
PT_1047,300,50,150
PT_1048,300,50,150
PT_1049,300,50,150
PT_1050,300,50,150
PT_1051,300,50,150
PT_1052,300,50,150
PT_1053,50,5,25
PT_1054,300,50,150
PT_1055,300,50,150
PT_1056,300,50,150
PT_1057,300,50,150
PT_1058,300,50,150
PT_1059,300,50,150
PT_1060,300,50,150
PT_1061,300,50,150
PT_1062,50,5,25
PT_1063,300,50,150
PT_1064,300,50,150
PT_1065,300,50,150
PT_1066,300,50,150
PT_1067,300,50,150
PT_1068,300,50,150
PT_1069,300,50,150
PT_1070,300,50,150
PT_1071,50,5,25
PT_1072,300,50,150
PT_1073,300,50,150
PT_1074,300,50,150
PT_1075,300,50,150
PT_1076,300,50,150
PT_1077,300,50,150
PT_1078,300,50,150
PT_1079,300,50,150
PT_1080,50,5,25
PT_1081,300,50,150
PT_1082,300,50,150
PT_1083,300,50,150
PT_1084,300,50,150
PT_1085,300,50,150
PT_1086,300,50,150
PT_1087,300,50,150
PT_1088,300,50,150
PT_1089,50,5,25
PT_1090,300,50,150
PT_1091,300,50,150
PT_1092,300,50,150
PT_1093,300,50,150
PT_1094,300,50,150
PT_1095,300,50,150
PT_1096,300,50,150
PT_1097,300,50,150
PT_1098,50,5,25
PT_1099,50,5,25
PT_1100,50,5,25
PT_1101,50,5,25
PT_1102,50,5,25
PT_1103,50,5,25
PT_1104,50,5,25
PT_1105,50,5,25
PT_1106,50,5,25
PT_1107,50,5,25
PT_1108,50,5,25
PT_1109,50,5,25
PT_1110,50,5,25
PT_1111,50,5,25
PT_1112,50,5,25
PT_1113,50,5,25
PT_1114,50,5,25
PT_1115,50,5,25
PT_1116,50,5,25
PT_1117,50,5,25
PT_1118,50,5,25
PT_1119,50,5,25
PT_1120,50,5,25
PT_1121,50,5,25
PT_1122,50,5,25
PT_1123,50,5,25
PT_1124,50,5,25
PT_1125,50,5,25
PT_1126,50,5,25
PT_1127,50,5,25
PT_1128,50,5,25
PT_1129,50,5,25
PT_1130,50,5,25
PT_1131,50,5,25
PT_1132,50,5,25
PT_1133,50,5,25
PT_1134,50,5,25
PT_1135,50,5,25
PT_1136,50,5,25
PT_1137,50,5,25
PT_1138,50,5,25
PT_1139,50,5,25
PT_1140,50,5,25
PT_1141,50,5,25
PT_1142,50,5,25
PT_1143,50,5,25
PT_1144,50,5,25
PT_1145,50,5,25
PT_1146,50,5,25
PT_1147,50,5,25
PT_1148,50,5,25
PT_1149,50,5,25
PT_1150,50,5,25
PT_1151,50,5,25
PT_1152,50,5,25
PT_1153,50,5,25
PT_1154,50,5,25
PT_1155,50,5,25
PT_1156,50,5,25
PT_1157,50,5,25
PT_1158,50,5,25
PT_1159,50,5,25
PT_1160,50,5,25
PT_1161,50,5,25
PT_1162,50,5,25
